iter	Passed	Remaining
0	166	83073
1	186	46404
2	206	34217
3	226	28119
4	246	24375
5	265	21893
6	284	20061
7	301	18564
8	319	17406
9	335	16430
10	351	15615
11	369	15039
12	386	14495
13	405	14079
14	425	13757
15	443	13411
16	460	13078
17	477	12789
18	495	12540
19	513	12331
20	528	12061
21	550	11954
22	587	12181
23	614	12193
24	637	12109
25	674	12293
26	726	12728
27	748	12622
28	769	12505
29	791	12403
30	811	12283
31	834	12203
32	856	12117
33	876	12017
34	896	11909
35	922	11889
36	951	11902
37	971	11805
38	991	11723
39	1019	11721
40	1047	11722
41	1070	11672
42	1107	11775
43	1166	12087
44	1228	12419
45	1265	12485
46	1286	12403
47	1308	12318
48	1328	12229
49	1351	12160
50	1372	12085
51	1393	12008
52	1413	11918
53	1434	11845
54	1454	11766
55	1471	11668
56	1489	11579
57	1505	11474
58	1523	11384
59	1576	11558
60	1608	11579
61	1641	11596
62	1690	11727
63	1729	11781
64	1747	11695
65	1771	11647
66	1793	11591
67	1812	11515
68	1831	11441
69	1850	11366
70	1873	11319
71	1896	11272
72	1915	11206
73	1935	11142
74	1955	11082
75	1972	11002
76	1990	10933
77	2018	10919
78	2038	10865
79	2059	10814
80	2080	10763
81	2099	10704
82	2121	10657
83	2142	10612
84	2162	10557
85	2176	10479
86	2193	10411
87	2211	10352
88	2229	10295
89	2248	10243
90	2288	10283
91	2343	10392
92	2399	10500
93	2437	10526
94	2456	10474
95	2476	10420
96	2493	10358
97	2511	10303
98	2530	10248
99	2549	10196
100	2567	10142
101	2584	10084
102	2603	10035
103	2621	9982
104	2640	9934
105	2660	9889
106	2677	9833
107	2703	9811
108	2748	9859
109	2792	9899
110	2837	9942
111	2876	9965
112	2895	9915
113	2914	9868
114	2936	9831
115	2960	9801
116	2982	9761
117	3002	9720
118	3020	9671
119	3038	9622
120	3059	9581
121	3082	9549
122	3106	9520
123	3132	9497
124	3154	9462
125	3179	9437
126	3205	9413
127	3235	9404
128	3266	9394
129	3288	9359
130	3313	9332
131	3337	9304
132	3363	9280
133	3388	9254
